,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh,dishwasher,ev,freezer,grid export,grid import,heat pump,pv,refrigerator,washing machine,total energy consumption,energy balance
8597,12-24 05:10:00,0.0,0.0,0.0,0.0,0.0,7.553125,13.0825,0.0,0.20458,44.832,1191.026,190.187,9613.636,5060.3533333333335,1304.2200833333334,12333.334,71.93716666666667,49.44533333333334,2851.6475833333334,7780.051333333333
8598,12-24 06:10:00,0.0,0.0,0.0,0.0,0.0,7.32125,12.921875,0.0,0.20458,44.832,1191.026,190.20174999999998,9613.636,5061.160583333333,1304.6169166666666,12333.334,71.95108333333333,49.44533333333334,2852.073083333333,7780.858583333334
8599,12-24 07:10:00,0.0,0.0,0.0,0.0,0.0,7.145625,12.791875,0.0,0.20458,44.832,1191.026,190.21349999999998,9613.637666666667,5062.18825,1305.0391666666667,12333.391000000001,71.956,49.44533333333334,2852.512,7781.941583333333
8600,12-24 08:10:00,0.0,0.0,0.0,0.0,0.0,6.990625,12.676875,0.0,0.20458,44.832,1191.026,190.23033333333333,9613.690416666666,5062.8313333333335,1305.4300833333334,12334.022166666668,71.9645,49.44533333333334,2852.9282500000004,7783.163083333334
8601,12-24 09:10:00,0.0,0.0,0.0,0.0,0.0,6.935625,12.534375,0.0,0.26706,44.832,1191.026,190.24233333333333,9613.88825,5063.351583333333,1305.8950833333333,12335.235083333333,71.98258333333334,49.44533333333334,2853.4233333333327,7784.698416666667
8602,12-24 10:10:00,799.03875,98.50750000000001,66.0225,1.699375,8.77,7.150625,12.530000000000001,0.0,0.26706,44.83283333333333,1191.2369166666667,190.25833333333335,9614.143666666667,5064.661083333333,1306.71025,12337.228666666668,71.98691666666667,49.44558333333333,2854.4708333333333,7787.746083333334
8603,12-24 11:10:00,1255.30125,155.525,95.688125,2.86,14.49,7.85125,12.57375,0.0,0.26706,44.94991666666667,1192.2210833333331,190.2725,9614.62125,5066.448666666667,1307.4489999999998,12338.948333333334,72.00241666666666,49.446666666666665,2856.3415833333333,7790.775750000001
8604,12-24 12:10:00,1494.6675,181.97125,119.234375,3.65375,18.11,8.440625,12.701875,0.0,0.26706,45.0825,1193.20775,190.28525,9616.183833333333,5067.505416666667,1307.7760833333332,12341.274083333332,72.015,49.447750000000006,2857.8143333333333,7792.595666666667
8605,12-24 13:10:00,1805.7675,228.355,133.706875,4.30125,19.3,8.901250000000001,12.75375,0.0,0.26706,45.091499999999996,1194.4008333333334,190.30141666666668,9617.359999999999,5068.599166666667,1308.2735833333334,12343.804333333333,72.02708333333332,49.449749999999995,2859.5441666666666,7795.0435
8606,12-24 14:10:00,1679.51625,206.521875,129.31375,3.93,17.92,9.165625,12.823125,0.0,0.26706,45.09433333333333,1195.3030833333335,190.31408333333334,9618.74675,5069.649083333334,1308.5176666666666,12345.651916666668,72.03966666666666,49.45133333333334,2860.7201666666665,7796.55425
