,time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,price_per_kwh
6523,09-28 19:10:00,0.0,0.0,0.0,0.0,0.0,17.72875,3.314375,0.0,0.26706
6524,09-28 20:10:00,0.0,0.0,0.0,0.0,0.0,16.75625,3.435,0.0,0.26706
6525,09-28 21:10:00,0.0,0.0,0.0,0.0,0.0,16.259375,3.418125,0.0,0.20458
6526,09-28 22:10:00,0.0,0.0,0.0,0.0,0.0,15.85875,3.51625,0.0,0.20458
6527,09-28 23:10:00,0.0,0.0,0.0,0.0,0.0,15.33125,3.6725,0.0,0.20458
6528,09-29 00:10:00,0.0,0.0,0.0,0.0,0.0,15.155625,3.775,0.0,0.20458
6529,09-29 01:10:00,0.0,0.0,0.0,0.0,0.0,14.864375,3.85,0.0,0.20458
6530,09-29 02:10:00,0.0,0.0,0.0,0.0,0.0,14.645,3.8674999999999997,0.0,0.20458
6531,09-29 03:10:00,0.0,0.0,0.0,0.0,0.0,14.4025,3.921875,0.0,0.20458
6532,09-29 04:10:00,0.0,0.0,0.0,0.0,0.0,14.280625,4.081875,0.0,0.20458
6533,09-29 05:10:00,0.0,0.0,0.0,0.0,0.0,14.089375,3.9868750000000004,0.0,0.20458
6534,09-29 06:10:00,0.0,0.0,0.0,0.0,0.0,13.964375,3.8668750000000003,0.0,0.20458
6535,09-29 07:10:00,0.0,0.0,0.0,0.0,0.0,13.8075,3.828125,0.0,0.20458
6536,09-29 08:10:00,403.58625,41.014375,58.08125,1.83375,10.39,14.029375,3.939375,0.0,0.20458
6537,09-29 09:10:00,1174.59,129.648125,116.49375,4.273125,19.88,14.988125,4.210625,0.0,0.26706
6538,09-29 10:10:00,1604.2725,200.999375,133.535,5.574375,28.32,15.97875,4.4275,0.0,0.26706
6539,09-29 11:10:00,2631.4387500000003,345.82,205.99937500000001,8.946250000000001,35.07,16.98,4.2925,0.0,0.26706
6540,09-29 12:10:00,2967.525,398.286875,232.91625,10.13625,39.3,17.74875,4.400625,0.0,0.26706
6541,09-29 13:10:00,2766.0975,356.14625,240.003125,9.874375,40.32,18.275625,4.535,0.0,0.26706
6542,09-29 14:10:00,2663.775,362.15625,212.460625,9.16875,37.93,18.63625,4.594375,0.0,0.26706
6543,09-29 15:10:00,2480.1375000000003,345.499375,184.319375,8.24375,32.57,18.8,4.5125,0.0,0.26706
6544,09-29 16:10:00,2153.40375,292.651875,158.745,6.83125,25.04,18.726875,4.48375,0.0,0.26706
6545,09-29 17:10:00,1227.2775000000001,159.625,103.681875,3.9612499999999997,16.1,18.39375,4.2125,0.0,0.26706
6546,09-29 18:10:00,337.02375,47.539375,44.438125,1.3387499999999999,6.34,17.75875,3.784375,0.0,0.26706
6547,09-29 19:10:00,0.0,0.0,0.0,0.0,0.0,16.78,3.535,0.0,0.26706
6548,09-29 20:10:00,0.0,0.0,0.0,0.0,0.0,15.949375,3.47375,0.0,0.26706
6549,09-29 21:10:00,0.0,0.0,0.0,0.0,0.0,15.416875000000001,3.393125,0.0,0.20458
6550,09-29 22:10:00,0.0,0.0,0.0,0.0,0.0,14.8875,3.40625,0.0,0.20458
6551,09-29 23:10:00,0.0,0.0,0.0,0.0,0.0,14.450625,3.516875,0.0,0.20458
6552,09-30 00:10:00,0.0,0.0,0.0,0.0,0.0,14.158125,3.310625,0.0,0.20458
6553,09-30 01:10:00,0.0,0.0,0.0,0.0,0.0,13.977500000000001,3.159375,0.0,0.20458
6554,09-30 02:10:00,0.0,0.0,0.0,0.0,0.0,13.710625,3.03875,0.0,0.20458
6555,09-30 03:10:00,0.0,0.0,0.0,0.0,0.0,13.424375000000001,2.90625,0.0,0.20458
6556,09-30 04:10:00,0.0,0.0,0.0,0.0,0.0,13.175625,2.8118749999999997,0.0,0.20458
6557,09-30 05:10:00,0.0,0.0,0.0,0.0,0.0,12.94375,2.80625,0.0,0.20458
6558,09-30 06:10:00,0.0,0.0,0.0,0.0,0.0,12.73,2.915,0.0,0.20458
6559,09-30 07:10:00,0.0,0.0,0.0,0.0,0.0,12.8525,3.0256250000000002,0.0,0.20458
6560,09-30 08:10:00,477.945,58.3825,57.888125,2.013125,10.15,13.379375,3.254375,0.0,0.20458
6561,09-30 09:10:00,1327.32,158.03625,119.801875,4.659375,19.62,14.55875,3.500625,0.0,0.26706
6562,09-30 10:10:00,1470.51375,152.399375,153.946875,5.4125,26.278125000000003,15.8375,3.840625,0.0,0.26706
6563,09-30 11:10:00,2157.19125,276.70124999999996,183.538125,7.621875,34.74,17.050625,4.034375,0.0,0.26706
6564,09-30 12:10:00,2228.25,305.66625,180.475,7.93125,36.506249999999994,17.589375,4.1025,0.0,0.26706
6565,09-30 13:10:00,2342.16375,296.159375,214.32999999999998,8.505,39.93,17.970625,4.190625,0.0,0.26706
6566,09-30 14:10:00,2423.0625,315.8,208.9,8.525625,37.53,18.21875,4.329375,0.0,0.26706
6567,09-30 15:10:00,2367.07875,330.098125,175.799375,7.83625,32.18,18.41875,4.46125,0.0,0.26706
6568,09-30 16:10:00,1824.3825,242.054375,142.92875,5.87375,24.67,18.37,4.400625,0.0,0.26706
6569,09-30 17:10:00,1046.4,128.43437500000002,98.62,3.494375,15.75,18.188125,4.330625,0.0,0.26706
6570,09-30 18:10:00,234.915,29.389375,37.693125,1.0475,6.0,17.753125,4.06,0.0,0.26706
6571,09-30 19:10:00,0.0,0.0,0.0,0.0,0.0,17.068125000000002,3.965,0.0,0.26706
6572,09-30 20:10:00,0.0,0.0,0.0,0.0,0.0,16.476875,4.184375,0.0,0.26706
6573,09-30 21:10:00,0.0,0.0,0.0,0.0,0.0,16.129375,4.29625,0.0,0.20458
6574,09-30 22:10:00,0.0,0.0,0.0,0.0,0.0,15.8575,4.2325,0.0,0.20458
6575,09-30 23:10:00,0.0,0.0,0.0,0.0,0.0,15.568125,4.564375,0.0,0.20458
6576,10-01 00:10:00,0.0,0.0,0.0,0.0,0.0,15.475,4.655,0.0,0.20458
6577,10-01 01:10:00,0.0,0.0,0.0,0.0,0.0,15.265,4.814375,0.0,0.20458
6578,10-01 02:10:00,0.0,0.0,0.0,0.0,0.0,15.12375,4.918125,0.0,0.20458
6579,10-01 03:10:00,0.0,0.0,0.0,0.0,0.0,15.009375,4.891875,0.0,0.20458
6580,10-01 04:10:00,0.0,0.0,0.0,0.0,0.0,14.820625,4.8149999999999995,0.0,0.20458
6581,10-01 05:10:00,0.0,0.0,0.0,0.0,0.0,14.774375,4.715,0.0,0.20458
